"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"18910","Mir1960",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18911","Mir1961",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18912","Mir1962",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18913","Mir1963",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18914","Mir1964",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18915","Mir1965",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18916","Mir1966",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18917","Mir1967",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18918","Mir1968",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18919","Mir1969",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18920","Mir196a-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18921","Mir196a-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18922","Mir196b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18923","Mir1971",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18924","Mir1981",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18925","Mir1982",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18926","Mir1983",0.1,0.1,0.4,0.1,0.1,0.1,0.1
"18927","Mir199a-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18928","Mir199b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18929","Mir19a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18930","Mir19b-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18931","Mir19b-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18932","Mir1a-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18933","Mir1a-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18934","Mir1b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18935","Mir200a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18936","Mir200b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18937","Mir200c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18938","Mir201",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18939","Mir202",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18940","Mir203",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18941","Mir204",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18942","Mir205",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18943","Mir206",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18944","Mir207",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18945","Mir208a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18946","Mir208b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18947","Mir20a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18948","Mir20b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18949","Mir21",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18950","Mir210",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18951","Mir211",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18952","Mir212",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18953","Mir2136",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18954","Mir2137",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18955","Mir215",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18956","Mir216a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18957","Mir216b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18958","Mir217",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18959","Mir218-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18960","Mir218-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18961","Mir219-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18962","Mir219-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18963","Mir22",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18964","Mir221",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18965","Mir222",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18966","Mir223",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18967","Mir224",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18968","Mir23a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18969","Mir23b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18970","Mir24-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18971","Mir24-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18972","Mir25",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18973","Mir26a-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18974","Mir26a-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18975","Mir26b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18976","Mir27a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18977","Mir27b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18978","Mir2861",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18979","Mir28b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18980","Mir290",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18981","Mir296",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18982","Mir297-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18983","Mir297a-3",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18984","Mir297b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18985","Mir298",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18986","Mir299",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18987","Mir29a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18988","Mir29b-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18989","Mir29b-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18990","Mir29c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18991","Mir300",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18992","Mir301",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18993","Mir301b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18994","Mir302a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18995","Mir302b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18996","Mir302c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18997","Mir302d",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18998","Mir3057",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18999","Mir3058",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19000","Mir3059",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19001","Mir3060",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19002","Mir3061",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19003","Mir3062",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19004","Mir3064",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19005","Mir3065",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19006","Mir3066",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19007","Mir3067",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19008","Mir3068",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19009","Mir3070a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19010","Mir3070b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19011","Mir3072",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19012","Mir3073",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19013","Mir3074-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19014","Mir3074-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19015","Mir3075",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19016","Mir3077",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19017","Mir3078",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19018","Mir3081",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19019","Mir3083",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19020","Mir3085",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19021","Mir3086",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19022","Mir3087",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19023","Mir3088",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19024","Mir3089",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19025","Mir3091",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19026","Mir3092",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19027","Mir3093",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19028","Mir3094",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19029","Mir3095",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19030","Mir3096",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19031","Mir3096b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19032","Mir3097",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19033","Mir3099",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19034","Mir30a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19035","Mir30b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19036","Mir30c-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19037","Mir30c-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19038","Mir30d",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19039","Mir30e",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19040","Mir31",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19041","Mir3100",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19042","Mir3101",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19043","Mir3102",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19044","Mir3103",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19045","Mir3106",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19046","Mir3107",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19047","Mir3108",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19048","Mir3109",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19049","Mir3110",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19050","Mir3112",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19051","Mir32",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19052","Mir320",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19053","Mir322",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19054","Mir323",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19055","Mir324",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19056","Mir326",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19057","Mir328",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19058","Mir329",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19059","Mir33",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19060","Mir330",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19061","Mir331",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19062","Mir335",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19063","Mir337",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19064","Mir338",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19065","Mir339",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19066","Mir340",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19067","Mir341",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19068","Mir343",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19069","Mir344",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19070","Mir344-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19071","Mir344b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19072","Mir344c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19073","Mir344d-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19074","Mir344d-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19075","Mir344d-3",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19076","Mir344e",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19077","Mir344f",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19078","Mir344g",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19079","Mir345",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19080","Mir346",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19081","Mir3471-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19082","Mir3473",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19083","Mir3473c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19084","Mir3473d",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19085","Mir3474",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19086","Mir3475",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19087","Mir34a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19088","Mir34b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19089","Mir34c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19090","Mir350",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19091","Mir351",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19092","Mir3572",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19093","Mir362",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19094","Mir363",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19095","Mir365-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19096","Mir365-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19097","Mir367",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19098","Mir369",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19099","Mir370",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19100","Mir374",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19101","Mir374c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19102","Mir375",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19103","Mir376a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19104","Mir376b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19105","Mir376c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19106","Mir377",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19107","Mir378b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19108","Mir379",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19109","Mir380",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19110","Mir381",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19111","Mir382",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19112","Mir383",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19113","Mir384",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19114","Mir3960",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19115","Mir3966",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19116","Mir3967",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19117","Mir3968",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19118","Mir3969",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19119","Mir3971",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19120","Mir409",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19121","Mir410",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19122","Mir411",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19123","Mir412",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19124","Mir421",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19125","Mir423",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19126","Mir425",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19127","Mir429",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19128","Mir431",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19129","Mir432",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19130","Mir434",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19131","Mir448",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19132","Mir449a",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19133","Mir449b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19134","Mir449c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19135","Mir450-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19136","Mir450-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19137","Mir450b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19138","Mir451",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19139","Mir452",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19140","Mir453",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19141","Mir455",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19142","Mir463",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19143","Mir465",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19144","Mir465b-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19145","Mir465b-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19146","Mir465c-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19147","Mir466",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19148","Mir4660",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19149","Mir466g",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19150","Mir466i",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19151","Mir467a-10",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19152","Mir467a-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19153","Mir467a-3",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19154","Mir467a-4",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19155","Mir467a-5",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19156","Mir467a-6",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19157","Mir467a-7",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19158","Mir467a-8",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19159","Mir467a-9",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19160","Mir467b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19161","Mir467d",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19162","Mir467f",0.5,0.1,0.1,0.1,0.1,0.1,0.1
"19163","Mir468",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19164","Mir470",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19165","Mir471",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19166","Mir483",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19167","Mir484",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19168","Mir485",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19169","Mir486",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19170","Mir487b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19171","Mir488",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19172","Mir489",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19173","Mir490",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19174","Mir491",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19175","Mir493",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19176","Mir494",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19177","Mir495",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19178","Mir496",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19179","Mir497",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19180","Mir499",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19181","Mir500",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19182","Mir501",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19183","Mir503",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19184","Mir504",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19185","Mir5046",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19186","Mir505",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19187","Mir509",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19188","Mir5098",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19189","Mir5100",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19190","Mir5103",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19191","Mir5104",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19192","Mir5106",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19193","Mir5107",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19194","Mir5108",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19195","Mir5109",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19196","Mir511",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19197","Mir5112",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19198","Mir5114",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19199","Mir5116",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19200","Mir5117",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19201","Mir5119",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19202","Mir5121",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19203","Mir5122",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19204","Mir5123",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19205","Mir5126",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19206","Mir5127",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19207","Mir5128",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19208","Mir5129",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19209","Mir5132",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19210","Mir5133",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19211","Mir5134",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19212","Mir5135",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19213","Mir5136",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19214","Mir532",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19215","Mir539",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19216","Mir540",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19217","Mir541",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19218","Mir542",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19219","Mir543",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19220","Mir547",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19221","Mir551b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19222","Mir568",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19223","Mir574",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19224","Mir582",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19225","Mir592",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19226","Mir598",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19227","Mir599",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19228","Mir615",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19229","Mir653",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19230","Mir654",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19231","Mir664",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19232","Mir665",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19233","Mir666",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19234","Mir667",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19235","Mir668",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19236","Mir669a-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19237","Mir669a-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19238","Mir669a-3",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19239","Mir669b",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19240","Mir669c",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19241","Mir669e",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19242","Mir669g",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19243","Mir669h",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19244","Mir669i",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19245","Mir669j",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19246","Mir669k",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19247","Mir669m-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19248","Mir669p-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19249","Mir670",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19250","Mir671",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19251","Mir672",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19252","Mir673",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19253","Mir674",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19254","Mir676",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19255","Mir677",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19256","Mir678",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19257","Mir679",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19258","Mir680-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19259","Mir680-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19260","Mir680-3",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19261","Mir681",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19262","Mir682",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19263","Mir683-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19264","Mir684-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19265","Mir684-2",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19266","Mir687",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19267","Mir688",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19268","Mir690",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19269","Mir691",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19270","Mir692-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19271","Mir693",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19272","Mir694",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19273","Mir695",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19274","Mir697",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19275","Mir698",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19276","Mir7-1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
