"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"2247","Neurons - 2",0,0.0796424794818971,0,0,-0.154731467937289,16.0540246583788,-1.37767112105946,0,0.0705431697623443,0.0639332402179608,0,2,0,0,0,20.5599939709169
"2248","Neurons - 2",0,0.0497377329329105,0,0,0.834297218314261,4.97473840055717,15.7387163816804,0,0.16176250179734,0.0844492620858578,0,2,0,0,0,8.49744496953544
"2249","Mixed",0,0.0690042777446936,0,0,0.0765621899663073,0.220971960159172,2.14783478937255,0,0.434847079450423,0,0,0,0,0,0,0.905716500594798
"2250","Astrocytes",0.0790791113136407,0.0791684434299813,0,0.278052066896081,0.139883729629013,0.700200632225675,1.45371796986273,0,0.250179530382531,0,0,0,0,0.0647529776239367,0,1.44403161924078
"2251","NPC",0,0.0442584635122056,0,0,0.0977888162488778,1.60415865503823,11.6520906165491,0,0.189860730973986,0.00132515025168351,0,1,0,0.0514180078681561,0,1.79784996429853
"2252","Neurons - 2",0,-0.0960050040982101,0,0,0.0135984934554944,2.25099622289469,21.865522245486,0,0.423646848417414,0,0,2,0,0,0,12.8134708882623
"2253","Neurons - 2",0,0.0628177952445805,0,0,-0.181698210788283,4.85872000998638,21.3513569346939,0,0.430020105241594,0.0952788522823272,0,2,0,0,0,5.99572227700681
"2254","NPC",0,0.000104240575026894,0,0,0.169963911126604,1.71047337018802,4.88887787627578,0,0.0898883165151284,0.00147245803691169,0,0,0,0.00747794629489057,0,3.72166474696084
"2255","Neurons - 1",0,0.00330119146820978,0,0,0.0353970180036882,2.81036222742858,7.79789495459002,0,0.0196242875059946,0,0,0,0,0.00269794609252714,0,6.02711529635589
"2256","Neurons - 1",0,-0.00287982011401499,0,0,0.150809302054179,-0.370623849907479,19.4679737111763,0,0.480542029601755,0.00185174119929085,0,1,0,0.014944049432958,0,5.46598040123268
